title_year,movie_title,content_rating,genres,plot_keywords,duration,language,country,color,aspect_ratio,budget,gross,director_name,director_facebook_likes,movie_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,num_imdb_voted_users,num_critic_for_reviews,num_user_for_reviews,imdb_score,movie_imdb_link
,Towering Inferno             ,,Comedy,,65,English,Canada,Color,1.33,,,John Blanchard,0,0,Martin Short,770,Andrea Martin,179,Joe Flaherty,176,1125,2,10,,,9.5,http://www.imdb.com/title/tt0691996/?ref_=fn_tt_tt_1
1994,The Shawshank Redemption ,R,Crime|Drama,escape from prison|first person narration|prison|prison cell search|wrongful imprisonment,142,English,USA,Color,1.85,25000000,28341469,Frank Darabont,0,108000,Morgan Freeman,11000,Jeffrey DeMunn,745,Bob Gunton,461,13495,0,1689764,199,4144,9.3,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1
1972,The Godfather ,R,Crime|Drama,crime family|mafia|organized crime|patriarch|rise to power,175,English,USA,Color,1.85,6000000,134821952,Francis Ford Coppola,0,43000,Al Pacino,14000,Marlon Brando,10000,Robert Duvall,3000,28122,1,1155770,208,2238,9.2,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1
,Dekalog             ,TV-MA,Drama,meaning of life|moral challenge|morality|search for meaning|ten commandments,55,Polish,Poland,Color,1.33,,447093,,,0,Krystyna Janda,20,Olaf Lubaszenko,3,Olgierd Lukaszewicz,2,25,0,12590,53,37,9.1,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1
,Dekalog             ,TV-MA,Drama,meaning of life|moral challenge|morality|search for meaning|ten commandments,55,Polish,Poland,Color,1.33,,447093,,,0,Krystyna Janda,20,Olaf Lubaszenko,3,Olgierd Lukaszewicz,2,25,0,12591,53,37,9.1,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1
2016,Kickboxer: Vengeance ,,Action,,90,English,USA,,,17000000,,John Stockwell,134,0,Matthew Ziff,260000,T.J. Storm,454,Sam Medina,354,261818,5,246,2,1,9.1,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1
,Fargo             ,TV-MA,Crime|Drama|Thriller,anthology|death|insurance salesman|minnesota|police officer,53,English,USA,Color,1.78,,,,,61000,Kirsten Dunst,4000,Adam Goldberg,1000,Oliver Platt,1000,19949,0,170055,54,173,9,http://www.imdb.com/title/tt2802850/?ref_=fn_tt_tt_1
1974,The Godfather: Part II ,R,Crime|Drama,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,220,English,USA,Color,1.85,13000000,57300000,Francis Ford Coppola,0,14000,Robert De Niro,22000,Al Pacino,14000,Robert Duvall,3000,39960,1,790926,149,650,9,http://www.imdb.com/title/tt0071562/?ref_=fn_tt_tt_1
2008,The Dark Knight ,PG-13,Action|Crime|Drama|Thriller,based on comic book|dc comics|psychopath|star died before release|urban setting,152,English,USA,Color,2.35,185000000,533316061,Christopher Nolan,22000,37000,Christian Bale,23000,Heath Ledger,13000,Morgan Freeman,11000,57802,0,1676169,645,4667,9,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1
1966,"The Good, the Bad and the Ugly ",Approved,Western,civil war|hitman|outlaw|shootout|spaghetti western,142,Italian,Italy,Color,2.35,1200000,6100000,Sergio Leone,0,20000,Clint Eastwood,16000,Luigi Pistilli,34,Enzo Petito,24,16089,3,503509,181,780,8.9,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1
1957,12 Angry Men ,Not Rated,Crime|Drama,courtroom|dialogue driven|dialogue driven storyline|jury|murder,96,English,USA, Black and White,1.66,350000,,Sidney Lumet,0,40000,Jack Warden,359,Lee J. Cobb,259,John Fiedler,253,1433,1,447785,177,888,8.9,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1
1993,Schindler's List ,R,Biography|Drama|History,german|german soldier|jew|jewish|nazi,185,English,USA, Black and White,1.85,22000000,96067179,Steven Spielberg,14000,41000,Liam Neeson,14000,Embeth Davidtz,795,Caroline Goodall,212,15233,0,865020,174,1273,8.9,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1
2003,The Lord of the Rings: The Return of the King ,PG-13,Action|Adventure|Drama|Fantasy,battle|epic|king|orc|ring,192,English,USA,Color,2.35,94000000,377019252,Peter Jackson,0,16000,Orlando Bloom,5000,Billy Boyd,857,Bernard Hill,416,6434,2,1215718,328,3189,8.9,http://www.imdb.com/title/tt0167260/?ref_=fn_tt_tt_1
1994,Pulp Fiction ,R,Crime|Drama,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern,178,English,USA,Color,2.35,8000000,107930000,Quentin Tarantino,16000,45000,Bruce Willis,13000,Eric Stoltz,902,Phil LaMarr,857,16557,1,1324680,215,2195,8.9,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1
2001,The Lord of the Rings: The Fellowship of the Ring ,PG-13,Action|Adventure|Drama|Fantasy,elf|hobbit|middle earth|quest|ring,171,English,New Zealand,Color,2.35,93000000,313837577,Peter Jackson,0,21000,Christopher Lee,16000,Orlando Bloom,5000,Billy Boyd,857,22342,2,1238746,297,5060,8.8,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1
,It's Always Sunny in Philadelphia             ,TV-MA,Comedy,alcohol|bad taste humour|crude humor|loser|self obsession,22,English,USA,Color,1.33,,,,,0,Rob McElhenney,813,Kaitlin Olson,547,Glenn Howerton,424,1784,5,133415,79,151,8.8,http://www.imdb.com/title/tt0472954/?ref_=fn_tt_tt_1
2010,Inception ,PG-13,Action|Adventure|Sci-Fi|Thriller,ambiguous ending|corporate espionage|dream|subconscious|thief,148,English,USA,Color,2.35,160000000,292568851,Christopher Nolan,22000,175000,Leonardo DiCaprio,29000,Tom Hardy,27000,Joseph Gordon-Levitt,23000,81115,0,1468200,642,2803,8.8,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1
1999,Fight Club ,R,Drama,anti establishment|dark humor|fighting|multiple personality disorder|surprise ending,151,English,USA,Color,2.35,63000000,37023395,David Fincher,21000,48000,Brad Pitt,11000,Meat Loaf,783,Eugenie Bondurant,637,13209,2,1347461,315,2968,8.8,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1
1994,Forrest Gump ,PG-13,Comedy|Drama,amputee|love|vietnam|vietnam war|war hero,142,English,USA, Black and White,2.35,55000000,329691196,Robert Zemeckis,0,59000,Tom Hanks,15000,Siobhan Fallon Hogan,294,Sam Anderson,194,15700,0,1251222,149,1398,8.8,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1
1980,Star Wars: Episode V - The Empire Strikes Back ,PG,Action|Adventure|Fantasy|Sci-Fi,duel|famous twist|rebel|rescue|snowy landscape,127,English,USA,Color,2.35,18000000,290158751,Irvin Kershner,883,17000,Harrison Ford,11000,Kenny Baker,504,Anthony Daniels,441,12643,0,837759,223,900,8.8,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1
,Daredevil             ,TV-MA,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,corruption|lawyer|partnership|superhero|vigilante,54,English,USA,,16,,,,,55000,Elden Henson,577,Royce Johnson,4,Charlie Cox,0,581,0,213483,95,394,8.8,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1
2002,City of God ,R,Crime|Drama,coming of age|male frontal nudity|male nudity|photographer|slum,135,Portuguese,Brazil,Color,1.85,3300000,7563397,Fernando Meirelles,353,28000,Alice Braga,1000,Seu Jorge,69,Alexandre Rodrigues,40,1211,0,533200,214,749,8.7,http://www.imdb.com/title/tt0317248/?ref_=fn_tt_tt_1
,Gomorrah             ,TV-MA,Crime|Drama|Thriller,,55,Italian,Italy,Color,1.85,,,,,0,Maria Pia Calzone,18,Fortunato Cerlino,9,Marco D'Amore,5,39,5,9638,10,25,8.7,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1
1954,Seven Samurai ,Unrated,Action|Adventure|Drama,16th century|battle|japan|practice|samurai,202,Japanese,Japan, Black and White,1.37,2000000,269061,Akira Kurosawa,0,11000,Takashi Shimura,304,Minoru Chiaki,8,Kamatari Fujiwara,4,338,6,229012,153,596,8.7,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1
2014,Queen of the Mountains ,PG-13,Action|Biography|Drama|History,19th century|central asia|mother son relationship|ruler|russian empire,135,English,Kyrgyzstan,Color,2.35,1400000,,Sadyk Sher-Niyaz,135,0,Elina Abai Kyzy,0,Aziz Muradillayev,0,Mirlan Abdulayev,0,0,1,3144,16,24,8.7,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1
,The Honeymooners             ,,Comedy|Family,1950s|bus driver|money scheme|poverty|sewer,30,English,USA, Black and White,1.33,,,,,459,Jackie Gleason,491,Art Carney,154,Joyce Randolph,94,812,4,3446,15,31,8.7,http://www.imdb.com/title/tt0042114/?ref_=fn_tt_tt_1
,Friday Night Lights             ,TV-14,Drama|Sport,football|football coach|high school|small town|texas,44,English,USA,Color,1.78,,,,,0,Zach Gilford,971,Aimee Teegarden,741,Scott Porter,690,3418,1,42746,51,257,8.7,http://www.imdb.com/title/tt0758745/?ref_=fn_tt_tt_1
